player_id,player_name,team,season,week,rookie,home,touchdown,against,wp,report_status,yards_gained,rolling_yapg,rolling_rushing_yards,rolling_receiving_yards,rolling_rushing_touchdowns,rolling_receiving_touchdowns,prev_rushing_yards,prev_receiving_yards,prev_rushing_touchdowns,prev_receiving_touchdowns,prev_red_zone,rolling_red_zone,played
00-0023459,Aaron Rodgers,NYJ,2024,7,0,0,0,PIT,0.5833333333333333,Minor,325.0,275.0,11.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.4717,0.5,1.0
00-0026158,Joe Flacco,IND,2024,7,0,1,0,MIA,0.6078431372549019,Healthy,284.0,299.0,8.666666666666666,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.6167,0.375,
00-0026300,Josh Johnson,BAL,2024,7,0,0,0,TB,0.6491228070175439,Healthy,508.0,303.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.6154,
00-0026498,Matthew Stafford,LA,2024,7,0,1,0,LV,0.7802197802197802,Healthy,259.0,293.0,-0.25,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.625,0.6364,1.0
00-0027973,Andy Dalton,CAR,2024,7,0,0,0,WAS,0.15748031496062997,Healthy,180.0,484.0,7.75,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.5667,0.7143,1.0
00-0028118,Tyrod Taylor,NYJ,2024,7,0,0,0,PIT,0.5833333333333333,Healthy,325.0,287.5,,,,,7.0,0.0,0.0,0.0,0.4717,0.5,
00-0029263,Russell Wilson,PIT,2024,7,0,1,1,NYJ,0.4166666666666667,Healthy,409.0,359.0,,,,,3.0,0.0,1.0,0.0,0.48979999999999996,0.7273000000000001,1.0
00-0029604,Kirk Cousins,ATL,2024,7,0,1,0,SEA,0.6183206106870229,Healthy,385.0,483.0,-1.5,0.0,0.0,0.0,-8.0,0.0,0.0,0.0,0.6071,0.5455,1.0
00-0029892,Kyle Juszczyk,SF,2024,7,0,1,0,KC,0.5867768595041323,Healthy,310.0,220.0,2.0,9.333333333333334,0.3333333333333333,0.0,20.0,87.0,1.0,0.0,0.5088,0.5714,1.0
00-0030061,Zach Ertz,WAS,2024,7,0,1,1,CAR,0.84251968503937,Minor,421.0,425.0,0.0,34.5,0.0,0.0,0.0,268.0,0.0,1.0,0.6315999999999999,0.5556,1.0
