player_id,player_name,team,season,week,rookie,home,qb_id,touchdown,against,wp,report_status,yards_gained,rolling_yapg,rolling_rushing_yards,rolling_receiving_yards,rolling_rushing_touchdowns,rolling_receiving_touchdowns,player_id_drop,passing_tds,passing_yards,qb_rolling_passing_tds,qb_rolling_passing_yards,prev_rushing_yards,prev_receiving_yards,prev_rushing_touchdowns,prev_receiving_touchdowns,prev_red_zone,rolling_red_zone,played
00-0023459,Aaron Rodgers,NYJ,2024,8,0,0,00-0023459,0,NE,0.7101449275362319,Minor,336.0,366.0,6.5,0.0,0.0,0.0,00-0023459,2.0,233.0,1.0,276.0,44.0,0.0,0.0,0.0,0.46149999999999997,0.7,1.0
00-0024243,Marcedes Lewis,CHI,2024,8,0,0,00-0039918,0,WAS,0.4504504504504504,Minor,,180.0,0.0,2.0,0.0,0.0,,,,4.0,226.0,0.0,2.0,0.0,0.0,0.5667,0.7143,
00-0026158,Joe Flacco,IND,2024,8,0,0,00-0026158,0,HOU,0.3076923076923077,Healthy,302.0,277.0,8.666666666666666,0.0,0.0,0.0,,,,2.0,189.0,26.0,0.0,0.0,0.0,0.5574,0.6667000000000001,
00-0026300,Josh Johnson,BAL,2024,8,0,0,00-0034796,0,CLE,0.75,Healthy,387.0,223.0,0.0,0.0,0.0,0.0,00-0034796,2.0,289.0,5.0,281.0,0.0,0.0,0.0,0.0,0.7111,0.5,
00-0026498,Matthew Stafford,LA,2024,8,0,1,00-0026498,0,MIN,0.43478260869565216,Healthy,386.0,391.0,-0.75,0.0,0.0,0.0,00-0026498,4.0,279.0,0.0,154.0,-7.0,0.0,0.0,0.0,0.54,0.8571,1.0
00-0027973,Andy Dalton,CAR,2024,8,0,0,00-0039150,0,DEN,0.11764705882352944,Doubtful,,271.0,9.0,0.0,0.0,0.0,,,,0.0,84.0,34.0,0.0,0.0,0.0,0.5763,0.4286,
00-0028118,Tyrod Taylor,NYJ,2024,8,0,0,00-0023459,0,NE,0.7101449275362319,Healthy,336.0,358.5,,,,,00-0023459,2.0,233.0,1.25,265.25,7.0,0.0,0.0,0.0,0.46149999999999997,0.7,
00-0029263,Russell Wilson,PIT,2024,8,0,1,00-0029263,0,NYG,0.7101449275362319,Healthy,,339.0,3.0,0.0,1.0,0.0,,,,2.0,264.0,3.0,0.0,1.0,0.0,0.6102000000000001,0.8,
00-0029604,Kirk Cousins,ATL,2024,8,0,0,00-0029604,0,TB,0.504950495049505,Healthy,394.0,508.0,-1.5,0.0,0.0,0.0,00-0029604,4.0,276.0,1.0,232.0,8.0,0.0,0.0,0.0,0.45,0.6154,1.0
00-0029892,Kyle Juszczyk,SF,2024,8,0,1,00-0037834,0,DAL,0.7041420118343196,Healthy,,492.0,6.666666666666667,7.333333333333333,0.3333333333333333,0.0,,,,0.0,212.0,20.0,87.0,1.0,0.0,0.5962,0.5556,
00-0030061,Zach Ertz,WAS,2024,8,0,1,00-0039910,0,CHI,0.5495495495495496,Minor,,278.0,0.0,35.0,0.0,0.25,,,,0.0,6.0,0.0,268.0,0.0,1.0,0.6889,0.3333,
00-0030279,Keenan Allen,CHI,2024,8,0,0,00-0039918,0,WAS,0.4504504504504504,Healthy,,180.0,0.0,31.0,0.0,0.6666666666666666,,,,4.0,226.0,0.0,122.0,0.0,2.0,0.5667,0.7143,
00-0030431,Robert Woods,HOU,2024,8,0,1,00-0039163,0,IND,0.6923076923076923,Minor,363.0,337.0,0.0,10.0,0.0,0.0,00-0039163,1.0,285.0,0.0,86.0,0.0,46.0,0.0,0.0,0.5577000000000001,0.5556,1.0
00-0030506,Travis Kelce,KC,2024,8,0,0,00-0033873,0,LV,0.7727272727272727,Healthy,,259.0,0.0,51.5,0.0,0.0,,,,0.0,154.0,1.0,245.0,0.0,0.0,0.625,0.6364,
00-0030564,DeAndre Hopkins,KC,2024,8,0,0,00-0033873,0,LV,0.7727272727272727,Minor,,259.0,0.0,34.0,0.0,0.3333333333333333,,,,0.0,154.0,0.0,173.0,0.0,1.0,0.625,0.6364,
00-0030565,Geno Smith,SEA,2024,8,0,1,00-0030565,0,BUF,0.4132231404958678,Healthy,,289.0,31.25,0.0,0.0,0.0,,,,2.0,207.0,161.0,0.0,1.0,0.0,0.5536,0.3333,
00-0030578,Cordarrelle Patterson,PIT,2024,8,0,1,00-0029263,0,NYG,0.7101449275362319,Doubtful,,339.0,43.0,19.0,0.0,0.0,,,,2.0,264.0,92.0,34.0,0.0,0.0,0.6102000000000001,0.8,
00-0031235,Odell Beckham Jr.,MIA,2024,8,0,1,00-0034177,0,ARI,0.6644295302013423,Healthy,377.0,395.0,0.0,0.0,0.0,0.0,,,,0.0,74.0,0.0,0.0,0.0,0.0,0.6056,0.2727,
00-0031280,Derek Carr,NO,2024,8,0,0,00-0039376,0,LAC,0.24390243902439024,Doubtful,,326.0,2.5,0.0,0.0,0.0,,,,0.0,172.0,22.0,0.0,1.0,0.0,0.5294,0.6667000000000001,
00-0031345,Jimmy Garoppolo,LA,2024,8,0,1,00-0026498,0,MIN,0.43478260869565216,Healthy,386.0,389.75,,,,,00-0026498,4.0,279.0,1.0,185.25,,,,,0.54,0.8571,
00-0031381,Davante Adams,NYJ,2024,8,0,0,00-0023459,0,NE,0.7101449275362319,Healthy,336.0,351.0,0.0,30.0,0.0,0.0,00-0023459,2.0,233.0,1.5,254.5,0.0,293.0,0.0,1.0,0.46149999999999997,0.7,1.0
00-0031428,Allen Robinson,DET,2024,8,0,1,00-0033106,0,TEN,0.8888888888888888,Healthy,225.0,389.0,0.0,0.0,0.0,0.0,00-0033106,3.0,85.0,2.0,280.0,0.0,0.0,0.0,0.0,0.377,0.6,1.0
00-0031484,Chris Manhertz,NYG,2024,8,0,0,00-0035710,0,PIT,0.28985507246376807,Healthy,,325.0,,,,,,,,0.0,99.0,,,,,0.4717,0.5,
00-0031503,Jameis Winston,CLE,2024,8,0,1,00-0031503,0,BAL,0.25,Healthy,401.0,483.0,-1.5,0.0,0.0,0.0,00-0031503,3.0,334.0,,,-6.0,0.0,0.0,0.0,0.42310000000000003,0.7273000000000001,1.0
00-0031544,Amari Cooper,BUF,2024,8,0,0,00-0034857,0,SEA,0.5867768595041323,Healthy,,369.0,0.0,50.75,0.0,0.25,,,,2.0,323.0,0.0,316.0,0.0,3.0,0.6071,0.5455,
00-0031549,Nelson Agholor,BAL,2024,8,0,0,00-0034796,1,CLE,0.75,Healthy,387.0,264.0,0.0,14.75,0.0,0.0,00-0034796,2.0,289.0,4.25,283.0,0.0,170.0,0.0,1.0,0.7111,0.5,1.0
00-0031585,MyCole Pruitt,PIT,2024,8,0,1,00-0029263,0,NYG,0.7101449275362319,Minor,,339.0,,,,,,,,2.0,264.0,0.0,9.0,0.0,0.0,0.6102000000000001,0.8,
00-0031588,Stefon Diggs,HOU,2024,8,0,1,00-0039163,0,IND,0.6923076923076923,Minor,363.0,343.5,1.5,62.75,0.25,0.25,00-0039163,1.0,285.0,0.25,135.75,8.0,496.0,1.0,3.0,0.5577000000000001,0.5556,1.0
00-0031595,Michael Burton,DEN,2024,8,0,1,00-0039732,0,CAR,0.8823529411764706,Healthy,,421.0,0.0,4.0,0.0,0.0,,,,0.0,164.0,0.0,12.0,0.0,0.0,0.6315999999999999,0.5556,
00-0031687,Raheem Mostert,MIA,2024,8,0,1,00-0034177,1,ARI,0.6644295302013423,Healthy,377.0,390.5,65.0,9.0,0.0,0.0,,,,0.0,74.0,158.0,39.0,2.0,0.0,0.6056,0.2727,1.0
00-0031690,Eric Tomlinson,LAC,2024,8,0,1,00-0036355,0,NO,0.7560975609756098,Healthy,,389.0,0.0,7.0,0.0,0.0,,,,0.0,349.0,0.0,7.0,0.0,0.0,0.5106,0.5333,
00-0031763,DeAndre Carter,CHI,2024,8,0,0,00-0039918,0,WAS,0.4504504504504504,Healthy,,180.0,0.0,22.0,0.0,0.0,,,,4.0,226.0,0.0,60.0,0.0,0.0,0.5667,0.7143,
00-0031800,Taylor Heinicke,LAC,2024,8,0,1,00-0036355,0,NO,0.7560975609756098,Healthy,,389.0,0.0,0.0,0.0,0.0,,,,0.0,349.0,0.0,0.0,0.0,0.0,0.5106,0.5333,
00-0032104,Ameer Abdullah,LV,2024,8,0,1,00-0038579,0,KC,0.22727272727272727,Healthy,,310.0,33.0,11.5,0.5,0.0,,,,0.0,52.0,67.0,37.0,1.0,0.0,0.5088,0.5714,
00-0032128,Chris Conley,SF,2024,8,0,1,00-0037834,0,DAL,0.7041420118343196,Minor,,492.0,0.0,0.0,0.0,0.0,,,,0.0,212.0,0.0,4.0,0.0,0.0,0.5962,0.5556,
00-0032141,Geoff Swaim,CLE,2024,8,0,1,00-0031503,0,BAL,0.25,Healthy,401.0,462.5,,,,,00-0031503,3.0,334.0,3.0,334.0,0.0,58.0,0.0,1.0,0.42310000000000003,0.7273000000000001,1.0
00-0032156,Trevor Siemian,TEN,2024,8,0,0,00-0034771,0,DET,0.11111111111111116,Healthy,416.0,383.0,,,,,00-0034771,1.0,266.0,1.0,215.0,,,,,0.6563,0.4286,
00-0032211,Tyler Lockett,SEA,2024,8,0,1,00-0030565,0,BUF,0.4132231404958678,Healthy,,289.0,0.0,61.5,0.0,0.25,,,,2.0,207.0,0.0,384.0,0.0,1.0,0.5536,0.3333,
00-0032268,Marcus Mariota,WAS,2024,8,0,1,00-0039910,0,CHI,0.5495495495495496,Healthy,,278.0,18.0,0.0,0.0,0.0,,,,0.0,6.0,36.0,0.0,0.0,0.0,0.6889,0.3333,
00-0032385,Sterling Shepard,TB,2024,8,0,1,00-0034855,0,ATL,0.49504950495049505,Healthy,432.0,362.25,7.75,23.25,0.0,0.25,00-0034855,3.0,330.0,3.0,360.0,31.0,111.0,0.0,1.0,0.45280000000000004,0.625,1.0
