feature,gain,weight,cover,shap
remainder__red_zone_touches_ewma,34.97602462768555,222.0,674.5573120117188,0.31615185737609863
remainder__red_zone_touch_share_ewma,11.568381309509277,173.0,423.8558654785156,0.29174456000328064
remainder__receiving_touchdowns_ewma,12.874428749084473,329.0,617.2531127929688,0.282174289226532
remainder__touches_ewma,18.98719596862793,176.0,493.6264953613281,0.2603856921195984
remainder__spread_line,13.416780471801758,355.0,892.7844848632812,0.24574188888072968
remainder__qb_rushing_TDs_ewma,17.143247604370117,250.0,645.098388671875,0.22218140959739685
remainder__rushing_touchdowns_ewma,11.92962646484375,140.0,839.554443359375,0.1789950281381607
remainder__rushing_yards_ewma,7.478770732879639,135.0,303.41156005859375,0.14581474661827087
remainder__def_ewma_interceptions_per_game,6.448564052581787,242.0,564.529296875,0.1361362487077713
remainder__opponent_red_zone_def_rank,8.466562271118164,250.0,789.8318481445312,0.1278878152370453
remainder__qb_passing_TDs_ewma,5.91926383972168,153.0,512.1467895507812,0.12453887611627579
remainder__targets_ewma,4.885129928588867,164.0,263.87164306640625,0.10711127519607544
remainder__team_win_probability,6.0618133544921875,219.0,296.6080322265625,0.09956205636262894
remainder__team_total_red_zone_touches_ewma,4.146839141845703,190.0,299.86663818359375,0.09376928955316544
remainder__carries_ewma,9.599311828613281,123.0,482.2176513671875,0.09133455157279968
remainder__receiving_yards_ewma,4.434259414672852,221.0,268.1119079589844,0.08932013809680939
remainder__team_play_volume_ewma,4.087031364440918,225.0,265.864501953125,0.08435645699501038
remainder__qb_rushing_yards_ewma,5.25953483581543,183.0,257.66827392578125,0.0742885023355484
remainder__def_ewma_TDs_allowed_per_game,3.674691915512085,192.0,349.3959045410156,0.07072972506284714
remainder__def_ewma_yards_allowed_per_game,3.7822272777557373,190.0,299.73126220703125,0.06823907792568207
remainder__receptions_ewma,4.627445697784424,151.0,279.4568786621094,0.058901771903038025
remainder__qb_passing_yards_ewma,4.5840253829956055,134.0,300.74969482421875,0.055298492312431335
remainder__def_ewma_red_zone_completion_pct_allowed,3.3364968299865723,159.0,202.2016143798828,0.054116491228342056
ordinal_position__position,8.645429611206055,69.0,440.0212707519531,0.04750317707657814
